Alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,CL/CD,Endurance_Score,Payload_Score,Average_Endurance_Score,Average_Payload_Score,Airfoil
-5.0,-0.5751,0.01987,0.01029,-0.0001,1.0,0.3077,-28.94313034725717,-29.183075347257173,-17.944942208354302,4.903016390163013,3.1678388817168557,0010
-4.0,-0.5049,0.0169,0.00883,0.01,1.0,0.5934,-29.87573964497042,-30.08914964497042,-18.43472378698225,4.903016390163013,3.1678388817168557,0010
-3.0,-0.4246,0.01658,0.00896,0.0225,1.0,0.8032,-25.609167671893847,-25.794047671893846,-15.795666603136308,4.903016390163013,3.1678388817168557,0010
-2.0,-0.1986,0.01793,0.00956,0.0069,1.0,0.9491,-11.076408254322363,-11.166883254322363,-6.848720952593418,4.903016390163013,3.1678388817168557,0010
-1.0,-0.0167,0.01609,0.00733,-0.0122,1.0,1.0,-1.0379117464263516,-1.0489767464263517,-0.6414450478558109,4.903016390163013,3.1678388817168557,0010
0.0,0.0,0.01538,0.00665,-0.0,1.0,1.0,0.0,-0.00769,-0.003076,4.903016390163013,3.1678388817168557,0010
1.0,0.0167,0.01609,0.00732,0.0122,1.0,1.0,1.0379117464263516,1.0328867464263516,0.6350090478558109,4.903016390163013,3.1678388817168557,0010
2.0,0.1986,0.01793,0.00956,-0.0069,0.9491,1.0,11.076408254322363,11.148953254322363,6.841548952593417,4.903016390163013,3.1678388817168557,0010
3.0,0.4245,0.01657,0.00896,-0.0224,0.8032,1.0,25.618587809293903,25.786822809293906,15.794578685576342,4.903016390163013,3.1678388817168557,0010
4.0,0.5049,0.0169,0.00883,-0.01,0.5935,1.0,29.87573964497042,30.07224964497042,18.42796378698225,4.903016390163013,3.1678388817168557,0010
5.0,0.5751,0.01987,0.01029,0.0001,0.3078,1.0,28.94313034725717,29.163205347257172,17.936994208354303,4.903016390163013,3.1678388817168557,0010
6.0,0.6589,0.02553,0.0151,0.0057,0.1623,1.0,25.808852330591463,26.057937330591464,16.13853539835488,4.903016390163013,3.1678388817168557,0010
7.0,0.749,0.03314,0.02327,0.0099,0.119,1.0,22.601086300543148,22.881146300543147,14.302033780325889,4.903016390163013,3.1678388817168557,0010
8.0,0.8127,0.04516,0.03694,0.0154,0.1046,1.0,17.99601417183348,18.29389417183348,11.599736503100088,4.903016390163013,3.1678388817168557,0010
9.0,0.8029,0.06538,0.05888,0.0191,0.1077,1.0,12.28051391862955,12.56325391862955,8.156222351177728,4.903016390163013,3.1678388817168557,0010
10.0,0.5126,0.10834,0.10231,-0.0059,0.2438,1.0,4.73140114454495,4.88404114454495,3.33036268672697,4.903016390163013,3.1678388817168557,0010
11.0,0.535,0.12461,0.1186,-0.0056,0.215,1.0,4.29339539362812,4.44677039362812,3.086675236176872,4.903016390163013,3.1678388817168557,0010
12.0,0.4977,0.13528,0.12917,-0.0098,0.1898,1.0,3.6790360733293905,3.8134160733293907,2.6790456439976347,4.903016390163013,3.1678388817168557,0010
13.0,0.523,0.15024,0.14415,-0.0107,0.17,1.0,3.4810969116080934,3.6183869116080936,2.5826801469648557,4.903016390163013,3.1678388817168557,0010
14.0,0.4961,0.1553,0.14919,-0.0139,0.1519,1.0,3.194462330972312,3.3194223309723117,2.383107398583387,4.903016390163013,3.1678388817168557,0010
15.0,0.5015,0.16457,0.1585,-0.0171,0.1361,1.0,3.0473354803427113,3.170780480342711,2.2986972882056267,4.903016390163013,3.1678388817168557,0010
-5.0,-0.5751,0.01987,0.01029,-0.0001,1.0,0.3077,-28.94313034725717,-29.183075347257173,-17.944942208354302,4.903016390163013,3.1678388817168557,0110
-4.0,-0.5049,0.0169,0.00883,0.01,1.0,0.5934,-29.87573964497042,-30.08914964497042,-18.43472378698225,4.903016390163013,3.1678388817168557,0110
-3.0,-0.4246,0.01658,0.00896,0.0225,1.0,0.8032,-25.609167671893847,-25.794047671893846,-15.795666603136308,4.903016390163013,3.1678388817168557,0110
-2.0,-0.1986,0.01793,0.00956,0.0069,1.0,0.9491,-11.076408254322363,-11.166883254322363,-6.848720952593418,4.903016390163013,3.1678388817168557,0110
-1.0,-0.0167,0.01609,0.00733,-0.0122,1.0,1.0,-1.0379117464263516,-1.0489767464263517,-0.6414450478558109,4.903016390163013,3.1678388817168557,0110
0.0,0.0,0.01538,0.00665,-0.0,1.0,1.0,0.0,-0.00769,-0.003076,4.903016390163013,3.1678388817168557,0110
1.0,0.0167,0.01609,0.00732,0.0122,1.0,1.0,1.0379117464263516,1.0328867464263516,0.6350090478558109,4.903016390163013,3.1678388817168557,0110
2.0,0.1986,0.01793,0.00956,-0.0069,0.9491,1.0,11.076408254322363,11.148953254322363,6.841548952593417,4.903016390163013,3.1678388817168557,0110
3.0,0.4245,0.01657,0.00896,-0.0224,0.8032,1.0,25.618587809293903,25.786822809293906,15.794578685576342,4.903016390163013,3.1678388817168557,0110
4.0,0.5049,0.0169,0.00883,-0.01,0.5935,1.0,29.87573964497042,30.07224964497042,18.42796378698225,4.903016390163013,3.1678388817168557,0110
5.0,0.5751,0.01987,0.01029,0.0001,0.3078,1.0,28.94313034725717,29.163205347257172,17.936994208354303,4.903016390163013,3.1678388817168557,0110
6.0,0.6589,0.02553,0.0151,0.0057,0.1623,1.0,25.808852330591463,26.057937330591464,16.13853539835488,4.903016390163013,3.1678388817168557,0110
7.0,0.749,0.03314,0.02327,0.0099,0.119,1.0,22.601086300543148,22.881146300543147,14.302033780325889,4.903016390163013,3.1678388817168557,0110
8.0,0.8127,0.04516,0.03694,0.0154,0.1046,1.0,17.99601417183348,18.29389417183348,11.599736503100088,4.903016390163013,3.1678388817168557,0110
9.0,0.8029,0.06538,0.05888,0.0191,0.1077,1.0,12.28051391862955,12.56325391862955,8.156222351177728,4.903016390163013,3.1678388817168557,0110
10.0,0.5126,0.10834,0.10231,-0.0059,0.2438,1.0,4.73140114454495,4.88404114454495,3.33036268672697,4.903016390163013,3.1678388817168557,0110
11.0,0.535,0.12461,0.1186,-0.0056,0.215,1.0,4.29339539362812,4.44677039362812,3.086675236176872,4.903016390163013,3.1678388817168557,0110
12.0,0.4977,0.13528,0.12917,-0.0098,0.1898,1.0,3.6790360733293905,3.8134160733293907,2.6790456439976347,4.903016390163013,3.1678388817168557,0110
13.0,0.523,0.15024,0.14415,-0.0107,0.17,1.0,3.4810969116080934,3.6183869116080936,2.5826801469648557,4.903016390163013,3.1678388817168557,0110
14.0,0.4961,0.1553,0.14919,-0.0139,0.1519,1.0,3.194462330972312,3.3194223309723117,2.383107398583387,4.903016390163013,3.1678388817168557,0110
15.0,0.5015,0.16457,0.1585,-0.0171,0.1361,1.0,3.0473354803427113,3.170780480342711,2.2986972882056267,4.903016390163013,3.1678388817168557,0110
-5.0,-0.5751,0.01987,0.01029,-0.0001,1.0,0.3077,-28.94313034725717,-29.183075347257173,-17.944942208354302,4.903016390163013,3.1678388817168557,0210
-4.0,-0.5049,0.0169,0.00883,0.01,1.0,0.5934,-29.87573964497042,-30.08914964497042,-18.43472378698225,4.903016390163013,3.1678388817168557,0210
